interest_keywords,major_name,degree_category,employment_outlook,typical_roles,fit_notes,risk_notes
“智能医学工程+电子信息工程”联合学士学位项目|医学|AI|人工智能|智能制造|医生|医院|电子工程|通信网络|芯片|半导体|硬件测试,“智能医学工程+电子信息工程”联合学士学位项目,医学,评级A；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,电子工程、通信网络、芯片/半导体、硬件测试,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
“海洋药学+生物科学”联合学士学位项目|医学|药师|药品研发|药企注册|质量|医药销售,“海洋药学+生物科学”联合学士学位项目,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
“药学+应用化学”联合学士学位项目|医学|药师|药品研发|药企注册|质量|医药销售,“药学+应用化学”联合学士学位项目,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
“药学+材料科学与工程”联合学士学位项目|医学|药师|药品研发|药企注册|质量|医药销售,“药学+材料科学与工程”联合学士学位项目,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
且语|交叉学科,且语,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中医养生学|医学|医生|医院科室|医学科研|基层医疗,中医养生学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中医学|医学|医生|医院|中医师|针灸推拿师,中医学,医学,评级B；学习难度4/5；国家政策扶持，基层需求大,中医师、针灸推拿师,核心课程/能力：中医基础、方剂学、针灸学,就业评级B；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
中医骨伤科学|医学|医生|医院科室|医学科研|基层医疗,中医骨伤科学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中国语言文学类|文学|内容传播|教育|外贸|公共服务,中国语言文学类,文学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,内容传播、教育、外贸、公共服务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中草药栽培与鉴定|交叉学科|药师|药品研发|药企注册|质量|医药销售,中草药栽培与鉴定,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中药制药|医学|药师|药品研发|药企注册|质量|医药销售,中药制药,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中药学|医学|医生|医院|药学|药企|中药师|中药研发,中药学,医学,评级B；学习难度3/5；广东中医药强省政策支持,中药师、中药研发,核心课程/能力：中药鉴定、中药化学、方剂学,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
中药学类|医学|药师|药品研发|药企注册|质量|医药销售,中药学类,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中药资源与开发|医学|药师|药品研发|药企注册|质量|医药销售,中药资源与开发,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
中西医临床医学5年|医学|医生|医院|医院科室|医学科研|基层医疗,中西医临床医学,医学,评级A；学习难度5/5；医疗健康刚需强，培养周期和执业资格要求高,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度5/5；医疗健康刚需强，培养周期和执业资格要求高
医学|医生|临床|临床医学|医院|医学研究人员,临床医学,医学,评级A；学习难度5/5；永不过时，但培养周期长(5+3年)；三甲医院竞争激烈,临床医生/医学科研/医院相关岗位,适合抗压强、愿意长期学习并接受夜班和规培的学生,就业评级A；学习难度5/5；学习压力较高，适合基础扎实且愿意长期投入的学生
临床医学类|医学|医生|医院|医院科室|医学科研|基层医疗,临床医学类,医学,评级A；学习难度5/5；医疗健康刚需强，培养周期和执业资格要求高,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度5/5；医疗健康刚需强，培养周期和执业资格要求高
临床药学|医学|医生|医院|临床|药学|药企|临床药师,临床药学,医学,评级B；学习难度3/5；医院药学转型方向,临床药师,核心课程/能力：临床药理学、治疗药物监测,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
书法学|法学|法律|公务员|公检法|法律服务|合规风控,书法学,法学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,法律服务、公务员、公检法、合规风控,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
互联网金融|经济学|财经|金融|投资|银行|证券|保险|财税|企业经营分析,互联网金融,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
交通工程|工学|工程技术|产品研发|生产运维|项目实施,交通工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
交通管理|工学|运营管理|市场营销|供应链|电子商务,交通管理,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
交通管理工程|工学|运营管理|市场营销|供应链|电子商务,交通管理工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
交通运输|工学|工科|工程|技术|交通工程师|物流规划师,交通运输,工学,评级B；学习难度3/5；智慧交通方向有增长,交通工程师、物流规划师,核心课程/能力：交通规划、运输经济学、智慧交通,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
交通运输类|工学|工程技术|产品研发|生产运维|项目实施,交通运输类,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
产品设计|艺术学|设计|文创|艺术教育|展演|制作,产品设计,艺术学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
人力资源管理|管理学|管理|商业|运营|HR专员|招聘专员|薪酬管理,人力资源管理,管理学,评级C；学习难度2/5；各企业需要但岗位竞争大,HR专员、招聘专员、薪酬管理,核心课程/能力：人力资源管理、劳动法、组织行为学,就业评级C；学习难度2/5；仍需结合学校层次、城市和实习资源判断
人工智能157|工学|AI|人工智能|智能制造|软件开发|数据分析|算法|AI应用|信息安全,人工智能,工学,评级A；学习难度5/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度5/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品
人工智能工程技术|工学|AI|人工智能|智能制造|软件开发|数据分析|算法|AI应用|信息安全,人工智能工程技术,工学,评级A；学习难度5/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度5/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品
人才发展与管理|管理学|运营管理|市场营销|供应链|电子商务,人才发展与管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
人文地理与城乡规划|理学|科研助理|数据分析|教师|技术支持,人文地理与城乡规划,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
会展经济与管理|经济学|银行|证券|保险|财税|企业经营分析,会展经济与管理,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
财经|金融|会计|商业|会计学|管理学|管理|运营|审计|财务|会计师|审计师|税务师,会计学,管理学,评级B；学习难度3/5；稳定，CPA证书是关键；基础核算岗位面临AI替代,审计/财务/税务/企业经营分析,适合细致、规则意识强、愿意考证的学生,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
传播学|文学|内容运营|媒体传播|外贸|翻译|教育,传播学,文学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,内容运营、媒体传播、外贸/翻译、教育,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
体育学类|交叉学科,体育学类,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
体育教育|教育学|教育|师范|教师|体育教师|教练,体育教育,教育学,评级B；学习难度3/5；中小学体育教师刚需,体育教师、教练,核心课程/能力：运动生理学、体育教学法,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
供应链管理|管理学|运营管理|市场营销|供应链|电子商务,供应链管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
侦查学|法学|法律服务|公务员|公检法|合规风控,侦查学,法学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,法律服务、公务员、公检法、合规风控,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
俄语|文学|内容传播|教育|外贸|公共服务,俄语,文学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,内容传播、教育、外贸、公共服务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
保险学|经济学|银行|证券|保险|财税|企业经营分析,保险学,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
信息与计算科学|理学|理科|科研|数据|AI|人工智能|计算机|编程|软件|算法|统计|算法工程师|数据分析师,信息与计算科学,理学,评级A；学习难度4/5；数学+计算机交叉，就业面广,算法工程师、数据分析师,核心课程/能力：数值计算、最优化、编程,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
信息安全|工学|工程技术|产品研发|生产运维|项目实施,信息安全,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
信息安全与管理|工学|运营管理|市场营销|供应链|电子商务,信息安全与管理,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
信息工程|工学|工程技术|产品研发|生产运维|项目实施,信息工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
信息管理与信息系统|管理学|运营管理|市场营销|供应链|电子商务,信息管理与信息系统,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
信用管理|经济学|运营管理|市场营销|供应链|电子商务,信用管理,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
信用风险管理与法律防控|经济学|运营管理|市场营销|供应链|电子商务,信用风险管理与法律防控,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
健康服务与管理|管理学|运营管理|市场营销|供应链|电子商务,健康服务与管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
储能科学与工程|工学|工科|工程|技术|新能源|储能|电力|新能源储能|碳中和核心方向,储能科学与工程,工学,评级A；学习难度4/5；新能源储能，碳中和核心方向,新能源储能，碳中和核心方向,参考相近专业的课程和能力要求,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
儿科学|医学|医生|医院科室|医学科研|基层医疗,儿科学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
光源与照明|交叉学科,光源与照明,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
光电信息科学与工程|工学|电子工程|通信网络|芯片|半导体|硬件测试,光电信息科学与工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,电子工程、通信网络、芯片/半导体、硬件测试,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
公共事业管理|管理学|管理|商业|运营|行政|社区工作人员,公共事业管理,管理学,评级D；学习难度2/5；**红牌预警专业**，就业率低，多省列入预警名单,行政、社区工作人员,核心课程/能力：公共管理、公共政策、非营利组织管理,就业评级D；学习难度2/5；谨慎选择，需用证书、实习或作品拉开差距
公共管理类|管理学|运营管理|市场营销|供应链|电子商务,公共管理类,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
农业工程|工学|农业技术|畜牧兽医|水产养殖|农产品研发,农业工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,农业技术、畜牧兽医、水产养殖、农产品研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
农业机械化及其自动化|工学|电力系统|自动化控制|新能源设备|智能制造,农业机械化及其自动化,工学,评级A；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,电力系统、自动化控制、新能源设备、智能制造,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
农业资源与环境|工学|农业技术|畜牧兽医|水产养殖|农产品研发,农业资源与环境,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,农业技术、畜牧兽医、水产养殖、农产品研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
农学|农业|乡村振兴|农技推广|种子研发|农业管理,农学,农学,评级B；学习难度3/5；乡村振兴政策支持，智慧农业是新方向,农技推广、种子研发、农业管理,核心课程/能力：作物栽培、遗传育种、植物保护,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
农林经济管理|经济学|银行|证券|保险|财税|企业经营分析,农林经济管理,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
刑事科学技术|工学|工程技术|产品研发|生产运维|项目实施,刑事科学技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
创业管理|管理学|运营管理|市场营销|供应链|电子商务,创业管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
制冷与空调工程|工学|工程技术|产品研发|生产运维|项目实施,制冷与空调工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
制药工程|工学|药师|药品研发|药企注册|质量|医药销售,制药工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
制药工程技术|工学|药师|药品研发|药企注册|质量|医药销售,制药工程技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
功能材料|工学|工程技术|产品研发|生产运维|项目实施,功能材料,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
动物医学|农学|农业|乡村振兴|医学|医生|医院|财经|经济|商业|动物|兽医|宠物|宠物医生|动物检疫,动物医学,农学,评级A；学习难度4/5；宠物经济爆发，兽医需求猛增,兽医、宠物医生、动物检疫,核心课程/能力：动物解剖、动物病理、兽医临床,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
动物科学|农学|农业|乡村振兴|动物|兽医|宠物|畜牧技术员|饲料研发,动物科学,农学,评级B；学习难度3/5；畜牧业稳定，大型养殖集团需求,畜牧技术员、饲料研发,核心课程/能力：动物营养、遗传育种、养殖学,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
动物药学|医学|农学|宠物|兽医|药师|药品研发|药企注册|质量|医药销售,动物药学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
助产学|医学|医院|基层医疗|医药健康|公共卫生,助产学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医院、基层医疗、医药健康、公共卫生,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
劳动与社会保理障|交叉学科,劳动与社会保理障,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
劳动与社会保障|交叉学科,劳动与社会保障,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
