interest_keywords,major_name,degree_category,employment_outlook,typical_roles,fit_notes,risk_notes
木材科学与工程|工学|工程技术|产品研发|生产运维|项目实施,木材科学与工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
机器人工程|工学|工科|工程|技术|机器人|智能制造|自动化|控制|机器人工程师|自动化工程师,机器人工程,工学,评级A；学习难度4/5；2025年首次绿牌，智能制造风口,机器人工程师、自动化工程师,核心课程/能力：机器人学、运动控制、机器视觉,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
机器人技术|工学|装备制造|汽车工程|机器人应用|生产工艺,机器人技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,装备制造、汽车工程、机器人应用、生产工艺,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
机弱人工程|工学|工程技术|产品研发|生产运维|项目实施,机弱人工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
机械工程|工学|装备制造|汽车工程|机器人应用|生产工艺,机械工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,装备制造、汽车工程、机器人应用、生产工艺,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
机械电子工程|工学|工科|工程|技术|电子信息|芯片|硬件|机械|制造|装备|机电工程师|智能装备工程师,机械电子工程,工学,评级A；学习难度4/5；3次绿牌，智能制造方向，月薪7000+,机电工程师、智能装备工程师,核心课程/能力：机械设计、传感器技术、机电一体化,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
机械电子工程技术|工学|电子工程|通信网络|芯片|半导体|硬件测试,机械电子工程技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,电子工程、通信网络、芯片/半导体、硬件测试,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
机械类|工学|装备制造|汽车工程|机器人应用|生产工艺,机械类,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,装备制造、汽车工程、机器人应用、生产工艺,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
机械设计制造及其自动化|工学|工科|工程|技术|自动化|控制|智能制造|机械|制造|装备|机械工程师|制造工程师|设备工程师,机械设计制造及其自动化,工学,评级B；学习难度3/5；传统但稳定，不会淘汰，制造业基础,机械工程师、制造工程师、设备工程师,核心课程/能力：机械原理、机械制图、数控技术,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
机电技术教育|工学|教育|师范|教师|教培|教育管理|课程研发,机电技术教育,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,教师、教培、教育管理、课程研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
材料化学|工学|工程技术|产品研发|生产运维|项目实施,材料化学,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
材料成型及控制工程|工学|工程技术|产品研发|生产运维|项目实施,材料成型及控制工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
材料物理|工学|工程技术|产品研发|生产运维|项目实施,材料物理,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
材料科学与工程|工学|工科|工程|技术|新能源|储能|电力|材料|新材料|半导体|材料工程师|研发工程师,材料科学与工程,工学,评级B；学习难度3/5；新能源/半导体材料方向好,材料工程师、研发工程师,核心课程/能力：材料物理、材料化学、新材料,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
材料类|工学|工程技术|产品研发|生产运维|项目实施,材料类,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
林学|农学|农业技术|畜牧兽医|水产养殖|农产品研发,林学,农学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,农业技术、畜牧兽医、水产养殖、农产品研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
柔性电子学|工学|电子工程|通信网络|芯片|半导体|硬件测试,柔性电子学,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,电子工程、通信网络、芯片/半导体、硬件测试,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
核工程与核技术|工学|工程技术|产品研发|生产运维|项目实施,核工程与核技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
档案学|交叉学科,档案学,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
森林保护|交叉学科|农业技术|畜牧兽医|水产养殖|农产品研发,森林保护,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,农业技术、畜牧兽医、水产养殖、农产品研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
植物保护|农学|农业|乡村振兴|医学|药学|药企|植保技术员|农药研发,植物保护,农学,评级C；学习难度3/5；农药企业和技术推广,植保技术员、农药研发,核心课程/能力：植物病理、昆虫学、农药学,就业评级C；学习难度3/5；仍需结合学校层次、城市和实习资源判断
水产养殖学|农学|农业|乡村振兴|海洋|水产|沿海|水产技术员|养殖管理,水产养殖学,农学,评级B；学习难度3/5；广东海洋大学特色，沿海省份需求,水产技术员、养殖管理,核心课程/能力：鱼类学、水产饲料、养殖工程,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
水利水电工程|工学|工程技术|产品研发|生产运维|项目实施,水利水电工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
水生动物医学|医学|医生|医院|农学|宠物|兽医|医院科室|医学科研|基层医疗,水生动物医学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
汉语国际教育|教育学|教育|师范|教师|教培|教育管理|课程研发,汉语国际教育,教育学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,教师、教培、教育管理、课程研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
汉语言|文学|内容运营|媒体传播|外贸|翻译|教育,汉语言,文学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,内容运营、媒体传播、外贸/翻译、教育,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
师范|语文|中文|写作|公务员|汉语言文学|文学|语言|传媒|内容|教师|编辑|文案策划,汉语言文学,文学,评级B；学习难度2/5；考公/考编有优势，文职类岗位广泛,中小学语文教师/编辑/文案/公务员事业单位,适合文字能力强、阅读耐心好、愿意备考的学生,就业评级B；学习难度2/5；仍需结合学校层次、城市和实习资源判断
汽车服务工程|工学|工程技术|产品研发|生产运维|项目实施,汽车服务工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
油气储运工程|工学|工程技术|产品研发|生产运维|项目实施,油气储运工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
治安学|法学|法律服务|公务员|公检法|合规风控,治安学,法学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,法律服务、公务员、公检法、合规风控,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
法医学|医学|医生|医院|医院科室|医学科研|基层医疗,法医学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
法学|法律|律师|公检法|法务|公务员|法院|检察院,法学,法学,评级C；学习难度4/5；**红牌预警专业**（连续多年），法考通过率低；通过法考后前景改善,律师/法务/公务员/法院检察院相关岗位,适合阅读量大、逻辑表达强、能长期备考的学生,就业评级C；学习难度4/5；谨慎选择，需用证书、实习或作品拉开差距
法学类|法学|法律|公务员|公检法|法律服务|合规风控,法学类,法学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,法律服务、公务员、公检法、合规风控,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
法语|文学|内容传播|教育|外贸|公共服务,法语,文学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,内容传播、教育、外贸、公共服务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
泰语|交叉学科,泰语,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
测控技术与仪器|工学|工程技术|产品研发|生产运维|项目实施,测控技术与仪器,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
测绘工程|工学|工科|工程|技术|测绘工程师|GIS工程师,测绘工程,工学,评级C；学习难度3/5；需求稳定但增长有限,测绘工程师、GIS工程师,核心课程/能力：测量学、遥感、GPS定位,就业评级C；学习难度3/5；仍需结合学校层次、城市和实习资源判断
海事管理|管理学|运营管理|市场营销|供应链|电子商务,海事管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
海洋工程与技术|工学|工科|工程|技术|海洋|水产|沿海|海洋装备|广东海洋战略,海洋工程与技术,工学,评级C；学习难度4/5；海洋装备，广东海洋战略,海洋装备，广东海洋战略,参考相近专业的课程和能力要求,就业评级C；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
海洋技术|工学|工程技术|产品研发|生产运维|项目实施,海洋技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
海洋油气工程|工学|工程技术|产品研发|生产运维|项目实施,海洋油气工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
海洋渔业科学与技术|农学|农业|乡村振兴|海洋|水产|沿海|渔业技术|海洋资源管理,海洋渔业科学与技术,农学,评级C；学习难度3/5；专业窄，广东海洋大学特色,渔业技术、海洋资源管理,核心课程/能力：渔业资源、渔具渔法、海洋生态,就业评级C；学习难度3/5；仍需结合学校层次、城市和实习资源判断
海洋科学|理学|理科|科研|数据|海洋|水产|沿海|海洋监测|水产养殖,海洋科学,理学,评级C；学习难度3/5；广东海洋大学等少数院校开设，专业窄,海洋监测、水产养殖、科研,核心课程/能力：海洋化学、海洋生物学、海洋地质,就业评级C；学习难度3/5；仍需结合学校层次、城市和实习资源判断
海洋药学|医学|药师|药品研发|药企注册|质量|医药销售,海洋药学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
海洋资源与环境|工学|工程技术|产品研发|生产运维|项目实施,海洋资源与环境,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
海洋资源开发技术|工学|工程技术|产品研发|生产运维|项目实施,海洋资源开发技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
港口航道与海岸工程|工学|工程技术|产品研发|生产运维|项目实施,港口航道与海岸工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
烹饪与营养教育|教育学|教育|师范|教师|教培|教育管理|课程研发,烹饪与营养教育,教育学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,教师、教培、教育管理、课程研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
烹饪与餐饮管理|管理学|运营管理|市场营销|供应链|电子商务,烹饪与餐饮管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
焊接技术与工程|工学|工程技术|产品研发|生产运维|项目实施,焊接技术与工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
物流工程|工学|运营管理|市场营销|供应链|电子商务,物流工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
物流管理|管理学|管理|商业|运营|物流经理|供应链管理,物流管理,管理学,评级C；学习难度3/5；智慧物流/跨境物流方向有增长,物流经理、供应链管理,核心课程/能力：物流学、供应链管理、仓储管理,就业评级C；学习难度3/5；仍需结合学校层次、城市和实习资源判断
物理学|理学|理科|科研|数据|教师|半导体工程师|科研人员,物理学,理学,评级B；学习难度5/5；基础学科，芯片/量子方向有惊喜,教师、半导体工程师、科研人员,核心课程/能力：量子力学、电动力学、热力学统计,就业评级B；学习难度5/5；学习压力较高，适合基础扎实且愿意长期投入的学生
物理学类|理学|科研助理|数据分析|教师|技术支持,物理学类,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
物理，化学--中外食品质量与安全|工学|工程技术|产品研发|生产运维|项目实施,物理，化学--中外食品质量与安全,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
物联网工程|工学|软件开发|数据分析|算法|AI应用|信息安全,物联网工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
特殊教育|教育学|教育|师范|教师|特殊教育教师,特殊教育,教育学,评级A；学习难度3/5；人才奇缺，就业率极高，工作有挑战性,特殊教育教师,核心课程/能力：特殊儿童心理、康复训练、特殊教育方法,就业评级A；学习难度3/5；仍需结合学校层次、城市和实习资源判断
环保设备工程|工学|工程技术|产品研发|生产运维|项目实施,环保设备工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
环境工程|工学|工科|工程|技术|环境|环保|双碳|环保工程师|环评师|水处理工程师,环境工程,工学,评级C；学习难度3/5；政策驱动但就业增长缓慢,环保工程师、环评师、水处理工程师,核心课程/能力：环境化学、水处理、大气污染控制,就业评级C；学习难度3/5；仍需结合学校层次、城市和实习资源判断
环境生态工程|工学|工程技术|产品研发|生产运维|项目实施,环境生态工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
环境科学|工学|工程技术|产品研发|生产运维|项目实施,环境科学,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
环境科学与工程|工学|工程技术|产品研发|生产运维|项目实施,环境科学与工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
环境科学与工程类|工学|工程技术|产品研发|生产运维|项目实施,环境科学与工程类,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
环境设计|工学|设计|文创|艺术教育|展演|制作,环境设计,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
现代物流管理|管理学|运营管理|市场营销|供应链|电子商务,现代物流管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
现代精细化工技术|工学|工程技术|产品研发|生产运维|项目实施,现代精细化工技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
现代通信工程|工学|电子工程|通信网络|芯片|半导体|硬件测试,现代通信工程,工学,评级A；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,电子工程、通信网络、芯片/半导体、硬件测试,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
生态学|理学|科研助理|数据分析|教师|技术支持,生态学,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
生态环境工程技术|工学|工程技术|产品研发|生产运维|项目实施,生态环境工程技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
生物信息学|交叉学科,生物信息学,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
生物制药|工学|工科|工程|技术|医学|药学|药企,生物制药,工学,评级B；学习难度4/5；生物医药产业在粤港澳大湾区重点布局,生物医药产业在粤港澳大湾区重点布局,参考相近专业的课程和能力要求,就业评级B；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
生物医学工程|工学|工科|工程|技术|医学|医生|医院|医疗器械工程师|医学设备研发,生物医学工程,工学,评级B；学习难度4/5；交叉学科，医疗器械产业增长,医疗器械工程师、医学设备研发,核心课程/能力：生物医学电子、医学影像、生物材料,就业评级B；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
生物医学工程类|医学|医生|医院|医院科室|医学科研|基层医疗,生物医学工程类,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
