interest_keywords,major_name,degree_category,employment_outlook,typical_roles,fit_notes,risk_notes
航空航天类|交叉学科,航空航天类,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
船舶与海洋工程|工学|工程技术|产品研发|生产运维|项目实施,船舶与海洋工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
船舶电子电气工程|工学|新能源|电力|电网|电子工程|通信网络|芯片|半导体|硬件测试,船舶电子电气工程,工学,评级A；学习难度4/5；电网、新能源和制造业升级带来稳定需求,电子工程、通信网络、芯片/半导体、硬件测试,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；电网、新能源和制造业升级带来稳定需求
艺术教育|教育学|教育|师范|教师|教培|教育管理|课程研发,艺术教育,教育学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,教师、教培、教育管理、课程研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
艺术管理|管理学|运营管理|市场营销|供应链|电子商务,艺术管理,管理学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
艺术设计学|艺术学|设计|文创|艺术教育|展演|制作,艺术设计学,艺术学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
英语|文学|语言|传媒|内容|外贸|翻译|英语教师,英语,文学,评级C；学习难度2/5；纯英语优势减弱，建议辅修商务/法律等方向,英语教师、翻译、外贸,核心课程/能力：综合英语、英美文学、翻译,就业评级C；学习难度2/5；仍需结合学校层次、城市和实习资源判断
茶学|交叉学科,茶学,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
草业科学|农学|农业技术|乡村振兴|食品|生物相关产业,草业科学,农学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,农业技术、乡村振兴、食品/生物相关产业,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
药事管理|管理学|药师|药品研发|药企注册|质量|医药销售,药事管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
药学|医学|医生|医院|药企|药师|药品研发|医药代表,药学,医学,评级B；学习难度3/5；医院药房/药企稳定，研发需深造,药师、药品研发、医药代表,核心课程/能力：药理学、药物化学、药剂学,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
药学类|医学|药师|药品研发|药企注册|质量|医药销售,药学类,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
药物分析|医学|药师|药品研发|药企注册|质量|医药销售,药物分析,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
药物制剂|医学|药师|药品研发|药企注册|质量|医药销售,药物制剂,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
药物化学|医学|药师|药品研发|药企注册|质量|医药销售,药物化学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,药师、药品研发、药企注册/质量、医药销售,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
葡萄牙语|交叉学科,葡萄牙语,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
蚕学|交叉学科,蚕学,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
行政管理|管理学|运营管理|市场营销|供应链|电子商务,行政管理,管理学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
西班牙语|交叉学科,西班牙语,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
视觉传达设计|艺术学|设计|文创|艺术教育|展演|制作,视觉传达设计,艺术学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
警务指挥与战术|法学|法律服务|公务员|公检法|合规风控,警务指挥与战术,法学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,法律服务、公务员、公检法、合规风控,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
警犬技术|工学|工程技术|产品研发|生产运维|项目实施,警犬技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
计算机应用工程|工学|AI|人工智能|计算机|编程|软件|软件开发|数据分析|算法|AI应用|信息安全,计算机应用工程,工学,评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品
AI|人工智能|计算机|编程|软件|计算机科学与技术|工学|工科|工程|技术|软件工程师|AI工程师|系统架构师,计算机科学与技术,工学,评级A；学习难度4/5；需求量大，但竞争激烈；AI方向前景好，需持续学习,软件开发/算法工程/测试开发/产品技术岗,适合数学和逻辑能力强且愿意长期自学的学生,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
计算机类|工学|AI|人工智能|计算机|编程|软件|软件开发|数据分析|算法|AI应用|信息安全,计算机类,工学,评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品
设施农业科学与工程|工学|农业技术|畜牧兽医|水产养殖|农产品研发,设施农业科学与工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,农业技术、畜牧兽医、水产养殖、农产品研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
財务管理|管理学|运营管理|市场营销|供应链|电子商务,財务管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
财务会计教育|管理学|财经|会计|审计|教育|师范|教师|税务|财务分析,财务会计教育,管理学,评级A；学习难度3/5；岗位稳定，但基础核算受自动化影响，证书和实习很关键,会计、审计、税务、财务分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度3/5；岗位稳定，但基础核算受自动化影响，证书和实习很关键
财务管理|管理学|管理|商业|运营|财经|会计|审计|财务|财务分析师|资金管理|企业财务,财务管理,管理学,评级B；学习难度3/5；与会计学类似，偏管理分析,财务分析师、资金管理、企业财务,核心课程/能力：财务管理、财务报表分析、税务筹划,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
财政学|经济学|金融机构|财税|咨询|企业经营分析,财政学,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,金融机构、财税、咨询、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
财政学类|经济学|金融机构|财税|咨询|企业经营分析,财政学类,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,金融机构、财税、咨询、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
质量管理工程|工学|运营管理|市场营销|供应链|电子商务,质量管理工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
资产评估|交叉学科,资产评估,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
资源勘查工程|工学|工程技术|产品研发|生产运维|项目实施,资源勘查工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
资源循环科学与工程|工学|工程技术|产品研发|生产运维|项目实施,资源循环科学与工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
资源环境科学|工学|工程技术|产品研发|生产运维|项目实施,资源环境科学,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
资酒店管理|管理学|运营管理|市场营销|供应链|电子商务,资酒店管理,管理学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
跨境电子商务|工学|电子工程|通信网络|芯片|半导体|硬件测试,跨境电子商务,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,电子工程、通信网络、芯片/半导体、硬件测试,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
车辆工程|工学|工科|工程|技术|新能源|储能|电力|汽车|新能源车|智能驾驶|汽车工程师|新能源汽车工程师,车辆工程,工学,评级A；学习难度4/5；2025年首次绿牌，新能源车方向爆发,汽车工程师、新能源汽车工程师,核心课程/能力：汽车理论、动力电池、自动驾驶,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
轮机工程|工学|工程技术|产品研发|生产运维|项目实施,轮机工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
软件工程|工学|工科|工程|技术|计算机|软件|编程|软件开发工程师|测试工程师|DevOps,软件工程,工学,评级A；学习难度4/5；就业率高，薪资中上；外包竞争加剧,软件开发工程师、测试工程师、DevOps,核心课程/能力：软件工程方法、设计模式、敏捷开发,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
软件工程技术|工学|软件开发|数据分析|算法|AI应用|信息安全,软件工程技术,工学,评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品
轻工类|交叉学科,轻工类,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
过程装备与控制工程|工学|工程技术|产品研发|生产运维|项目实施,过程装备与控制工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
通信工程|工学|工科|工程|技术|通信|电子信息|网络|通信工程师|网络工程师|射频工程师,通信工程,工学,评级A；学习难度4/5；5G/6G推动需求，华为中兴等大厂吸纳,通信工程师、网络工程师、射频工程师,核心课程/能力：通信原理、信号处理、光纤通信,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
道路桥梁与渡河工程|工学|工程技术|产品研发|生产运维|项目实施,道路桥梁与渡河工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
遥感科学与技术|工学|工程技术|产品研发|生产运维|项目实施,遥感科学与技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
邮轮工程与管理|工学|运营管理|市场营销|供应链|电子商务,邮轮工程与管理,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
酒店管理|管理学|运营管理|市场营销|供应链|电子商务,酒店管理,管理学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
量子信息科学|交叉学科,量子信息科学,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
财经|金融|投资|银行|证券|金融学|经济学|经济|保险|投资分析师,金融学,经济学,评级B；学习难度3/5；行业周期性波动；CFA/FRM证书加分明显,银行/证券/基金/企业投融资/风控,适合数学和表达都不弱且愿意积累实习资源的学生,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
金融学类|经济学|财经|金融|投资|银行|证券|保险|财税|企业经营分析,金融学类,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
金融工程|经济学|财经|金融|经济|投资|银行|量化分析师|风控工程师,金融工程,经济学,评级B；学习难度4/5；对数学要求高，量化方向好,量化分析师、风控工程师,核心课程/能力：金融数学、衍生品定价、编程,就业评级B；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
金融数学|经济学|财经|金融|投资|银行|证券|保险|财税|企业经营分析,金融数学,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
金融科技|经济学|财经|金融|投资|银行|证券|保险|财税|企业经营分析,金融科技,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
金融科技应用|经济学|财经|金融|投资|银行|证券|保险|财税|企业经营分析,金融科技应用,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
针灸推拿学5年|医学|医院|基层医疗|医药健康|公共卫生,针灸推拿学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医院、基层医疗、医药健康、公共卫生,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
阿拉伯语|交叉学科,阿拉伯语,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
集成电路工程技术|工学|电子工程|通信网络|芯片|半导体|硬件测试,集成电路工程技术,工学,评级A；学习难度5/5；就业面取决于学校平台、城市产业和个人实习/证书积累,电子工程、通信网络、芯片/半导体、硬件测试,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度5/5；就业面取决于学校平台、城市产业和个人实习/证书积累
集成电路设计与集成系统|工学|工科|工程|技术|芯片设计|国家战略急需|广东产业聚集|深圳|广州,集成电路设计与集成系统,工学,评级A；学习难度5/5；芯片设计，国家战略急需，广东产业聚集(深圳/广州),芯片设计，国家战略急需，广东产业聚集(深圳/广州),参考相近专业的课程和能力要求,就业评级A；学习难度5/5；学习压力较高，适合基础扎实且愿意长期投入的学生
音乐学|艺术学|设计|文创|艺术教育|展演|制作,音乐学,艺术学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
音乐表演|艺术学|设计|文创|艺术教育|展演|制作,音乐表演,艺术学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
预防医学|医学|医生|医院|公共卫生医师|疾控技术人员,预防医学,医学,评级B；学习难度3/5；疫情后重视度提升，公务员岗位有优势,公共卫生医师、疾控技术人员,核心课程/能力：流行病学、卫生统计学、职业卫生,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
风景园林|交叉学科|农业技术|畜牧兽医|水产养殖|农产品研发,风景园林,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,农业技术、畜牧兽医、水产养殖、农产品研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
食品卫生与营养学|医学|医院医技|护理|康复治疗|公共卫生,食品卫生与营养学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医院医技、护理、康复治疗、公共卫生,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
食品工程技术|工学|工程技术|产品研发|生产运维|项目实施,食品工程技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
食品科学与工程|工学|工科|工程|技术|食品|质检|研发|食品工程师|质检工程师|研发工程师,食品科学与工程,工学,评级B；学习难度3/5；民生刚需，稳定性好,食品工程师、质检工程师、研发工程师,核心课程/能力：食品化学、食品微生物、食品安全,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
食品科学与工程类|工学|工程技术|产品研发|生产运维|项目实施,食品科学与工程类,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
食品营养与健康|工学|工程技术|产品研发|生产运维|项目实施,食品营养与健康,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
食品质量与安全|工学|工程技术|产品研发|生产运维|项目实施,食品质量与安全,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
马克思主义理论|交叉学科,马克思主义理论,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
高分子材料与工程|工学|工程技术|产品研发|生产运维|项目实施,高分子材料与工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
麻醉学|医学|医生|医院|麻醉医师,麻醉学,医学,评级A；学习难度4/5；人才缺口大，医院刚需岗位,麻醉医师,核心课程/能力：麻醉学、危重病医学、疼痛诊疗,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
