year,province,track,score,min_rank,max_rank,same_score_count,source_url,source_name
2023,上海,普通类,619,1,48,48,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,618,49,61,13,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,617,62,70,9,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,616,71,86,16,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,615,87,103,17,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,614,104,116,13,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,613,117,136,20,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,612,137,157,21,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,611,158,174,17,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,610,175,197,23,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,609,198,212,15,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,608,213,244,32,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,607,245,271,27,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,606,272,300,29,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,605,301,338,38,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,604,339,394,56,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,603,395,437,43,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,602,438,477,40,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,601,478,535,58,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,600,536,591,56,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,599,592,645,54,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,598,646,705,60,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,597,706,770,65,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,596,771,828,58,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,595,829,902,74,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,594,903,964,62,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,593,965,1039,75,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,592,1040,1130,91,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,591,1131,1199,69,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,590,1200,1288,89,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,589,1289,1366,78,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,588,1367,1468,102,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,587,1469,1573,105,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,586,1574,1670,97,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,585,1671,1780,110,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,584,1781,1900,120,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,583,1901,2011,111,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,582,2012,2134,123,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,581,2135,2262,128,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,580,2263,2393,131,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,579,2394,2520,127,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,578,2521,2668,148,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,577,2669,2821,153,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,576,2822,2962,141,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,575,2963,3118,156,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,574,3119,3270,152,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,573,3271,3404,134,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,572,3405,3586,182,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,571,3587,3741,155,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,570,3742,3914,173,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,569,3915,4096,182,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,568,4097,4260,164,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,567,4261,4425,165,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,566,4426,4600,175,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,565,4601,4750,150,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,564,4751,4910,160,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,563,4911,5080,170,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,562,5081,5270,190,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,561,5271,5453,183,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,560,5454,5664,211,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,559,5665,5843,179,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,558,5844,6028,185,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,557,6029,6238,210,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,556,6239,6451,213,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,555,6452,6649,198,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,554,6650,6846,197,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,553,6847,7041,195,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,552,7042,7242,201,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,551,7243,7444,202,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,550,7445,7651,207,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,549,7652,7855,204,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,548,7856,8061,206,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,547,8062,8255,194,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,546,8256,8464,209,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,545,8465,8712,248,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,544,8713,8940,228,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,543,8941,9179,239,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,542,9180,9418,239,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,541,9419,9655,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,540,9656,9864,209,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,539,9865,10105,241,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,538,10106,10340,235,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,537,10341,10565,225,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,536,10566,10808,243,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,535,10809,11029,221,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,534,11030,11276,247,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,533,11277,11501,225,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,532,11502,11739,238,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,531,11740,11977,238,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,530,11978,12194,217,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,529,12195,12442,248,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,528,12443,12669,227,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,527,12670,12910,241,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,526,12911,13152,242,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,525,13153,13398,246,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,524,13399,13663,265,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,523,13664,13919,256,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,522,13920,14182,263,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,521,14183,14416,234,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,520,14417,14672,256,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,519,14673,14925,253,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,518,14926,15161,236,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,517,15162,15390,229,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,516,15391,15632,242,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,515,15633,15916,284,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,514,15917,16172,256,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,513,16173,16423,251,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,512,16424,16670,247,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,511,16671,16921,251,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,510,16922,17139,218,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,509,17140,17377,238,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,508,17378,17631,254,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,507,17632,17863,232,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,506,17864,18118,255,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,505,18119,18398,280,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,504,18399,18635,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,503,18636,18898,263,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,502,18899,19158,260,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,501,19159,19420,262,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,500,19421,19672,252,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,499,19673,19921,249,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,498,19922,20181,260,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,497,20182,20398,217,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,496,20399,20653,255,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,495,20654,20893,240,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,494,20894,21165,272,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,493,21166,21430,265,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,492,21431,21695,265,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,491,21696,21932,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,490,21933,22166,234,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,489,22167,22397,231,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,488,22398,22656,259,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,487,22657,22878,222,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,486,22879,23115,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,485,23116,23334,219,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,484,23335,23581,247,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,483,23582,23814,233,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,482,23815,24077,263,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,481,24078,24317,240,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,480,24318,24548,231,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,479,24549,24801,253,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,478,24802,25081,280,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,477,25082,25351,270,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,476,25352,25585,234,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,475,25586,25848,263,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,474,25849,26112,264,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,473,26113,26377,265,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,472,26378,26613,236,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,471,26614,26866,253,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,470,26867,27118,252,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,469,27119,27340,222,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,468,27341,27576,236,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,467,27577,27818,242,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,466,27819,28075,257,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,465,28076,28319,244,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,464,28320,28564,245,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,463,28565,28788,224,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,462,28789,29013,225,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,461,29014,29246,233,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,460,29247,29469,223,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,459,29470,29706,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,458,29707,29925,219,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,457,29926,30168,243,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,456,30169,30385,217,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,455,30386,30610,225,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,454,30611,30852,242,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,453,30853,31094,242,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,452,31095,31347,253,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,451,31348,31584,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,450,31585,31821,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,449,31822,32023,202,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,448,32024,32236,213,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,447,32237,32460,224,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,446,32461,32676,216,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,445,32677,32897,221,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,444,32898,33094,197,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,443,33095,33327,233,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,442,33328,33564,237,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,441,33565,33766,202,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,440,33767,33965,199,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,439,33966,34170,205,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,438,34171,34431,261,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,437,34432,34625,194,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,436,34626,34853,228,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,435,34854,35051,198,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,434,35052,35259,208,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,433,35260,35473,214,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,432,35474,35697,224,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,431,35698,35904,207,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,430,35905,36113,209,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,429,36114,36303,190,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,428,36304,36503,200,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
2023,上海,普通类,427,36504,36712,209,https://www.shmeea.edu.cn/page/08000/20230623/17660.html,上海市教育考试院
